Manufacturer,Manufacturer Part Number,Source,Category,Competitor,Competitor Part Number,Manufacturer,Manufacturer Part Number,Availability,Factory Lead Time,Quantity1,Price1,Quantity2,Price2,Quantity3,Price3,Quantity4,Price4,Quantity5,Price5,Quantity6,Price6,Quantity7,Price7,Quantity8,Price8,Quantity9,Price9,Quantity10,Price10,Currency,URL,Status,Cache Time,Life Cycle,Description
Texas Instruments,UC2526DW,mouser.com,Switching Controllers,Mouser,Not available,Texas Instruments,UC2526DW,"Non-Stocked, Call for Quote",0 Days,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Texas-Instruments/UC2526DW?qs=%2F6osHtenqwPpTXOf0v4ksQ%3D%3D,No price,06/07/2023 09:57:48 AM,Not available,Switching Controllers
Texas Instruments,UC1878J,mouser.com,Switching Controllers,Mouser,Not available,Texas Instruments,UC1878J,"Non-Stocked, Call for Quote",0 Days,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Texas-Instruments/UC1878J?qs=c1CL%2F2XIqFJjnGR6uBlgsw%3D%3D,No price,06/07/2023 09:57:48 AM,Not available,Switching Controllers
Texas Instruments,UC1877J,mouser.com,Switching Controllers,Mouser,Not available,Texas Instruments,UC1877J,"Non-Stocked, Call for Quote",0 Days,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Texas-Instruments/UC1877J?qs=c1CL%2F2XIqFJte%252B0hIz0Mfg%3D%3D,No price,06/07/2023 09:57:48 AM,Not available,Switching Controllers
Texas Instruments,UC1876J,mouser.com,Switching Controllers,Mouser,Not available,Texas Instruments,UC1876J,"Non-Stocked, Call for Quote",0 Days,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Texas-Instruments/UC1876J?qs=c1CL%2F2XIqFLMFpDzLs%252BdOQ%3D%3D,No price,06/07/2023 09:57:48 AM,Not available,Switching Controllers
Texas Instruments,UC185T-3,mouser.com,Linear Voltage Regulators,Mouser,Not available,Texas Instruments,UC185T-3,"Non-Stocked, Call for Quote",0 Days,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Texas-Instruments/UC185T-3?qs=%2F6osHtenqwMPtXZ5MyFeew%3D%3D,No price,06/07/2023 09:57:48 AM,Not available,Linear Voltage Regulators
Texas Instruments,UC185T-2,mouser.com,Linear Voltage Regulators,Mouser,Not available,Texas Instruments,UC185T-2,"Non-Stocked, Call for Quote",0 Days,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Texas-Instruments/UC185T-2?qs=%2F6osHtenqwOUbVTvqJbaJQ%3D%3D,No price,06/07/2023 09:57:48 AM,Not available,Linear Voltage Regulators
Texas Instruments,UC185T-1,mouser.com,Linear Voltage Regulators,Mouser,Not available,Texas Instruments,UC185T-1,"Non-Stocked, Call for Quote",0 Days,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Texas-Instruments/UC185T-1?qs=%2F6osHtenqwOXGhxeECKWJw%3D%3D,No price,06/07/2023 09:57:48 AM,Not available,Linear Voltage Regulators
Texas Instruments,UC1853J,mouser.com,Power Factor Correction - PFC,Mouser,Not available,Texas Instruments,UC1853J,"Non-Stocked, Call for Quote",0 Days,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Texas-Instruments/UC1853J?qs=CaMqyxnOMphVEQRt61eRSA%3D%3D,No price,06/07/2023 09:57:48 AM,Not available,Power Factor Correction - PFC
Texas Instruments,UC1846L,mouser.com,Switching Controllers,Mouser,Not available,Texas Instruments,UC1846L,"Non-Stocked, Call for Quote",0 Days,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Texas-Instruments/UC1846L?qs=4uAu%2FPy9eMqXMEPq84YnKQ%3D%3D,No price,06/07/2023 09:57:48 AM,Not available,Switching Controllers
Vishay / Siliconix,SIRA60DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA60DP-T1-GE3,Vishay / Siliconix,SIRA60DP-T1-GE3,28540 In Stock,105 Days,1,$1.50,10,$1.35,100,$1.05,500,$0.867,1000,$0.686,3000,$0.673,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/SIRA60DP-T1-GE3?qs=YQnJFR48xcAYpf%2FfZ8GFVQ%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V Vds 20V Vgs PowerPAK SO-8
Vishay / Siliconix,SIRA58DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA58DP-T1-GE3,Vishay / Siliconix,SIRA58DP-T1-GE3,6000 On Order,638 Days,1,$1.22,10,$1.09,100,$0.851,500,$0.752,3000,$0.752,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/SIRA58DP-T1-GE3?qs=b%252B2mHxW%2Fy4V6i5SsuEu9%2Fw%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 40V Vds 20V Vgs PowerPAK SO-8
Vishay / Siliconix,SIRA54DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA54DP-T1-GE3,Vishay / Siliconix,SIRA54DP-T1-GE3,5238 In Stock,160 Days,1,$1.32,10,$1.18,100,$0.918,500,$0.758,1000,$0.657,3000,$0.621,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/SIRA54DP-T1-GE3?qs=YQnJFR48xcBvzdajg3mQsg%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 40V Vds 20V Vgs PowerPAK SO-8
Vishay / Siliconix,SIRA28BDP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA28BDP-T1-GE3,Vishay / Siliconix,SIRA28BDP-T1-GE3,5990 In Stock,137 Days,1,$0.528,10,$0.458,100,$0.348,500,$0.293,1000,$0.227,3000,$0.205,9000,$0.202,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/SIRA28BDP-T1-GE3?qs=u16ybLDytRb6sUKsUjWXgQ%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V Vds; 20/-16V Vgs PowerPAK SO-8
Vishay / Siliconix,SIRA24DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA24DP-T1-GE3,Vishay / Siliconix,SIRA24DP-T1-GE3,64116 In Stock,170 Days,1,$0.883,10,$0.794,100,$0.619,500,$0.512,1000,$0.413,3000,$0.384,6000,$0.373,9000,$0.359,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/SIRA24DP-T1-GE3?qs=4pzlT8jjbhdIy1%252BrtdRz7Q%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 25V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIRA20DP-T1-RE3,mouser.com,MOSFET,Mouser,78-SIRA20DP-T1-RE3,Vishay Semiconductors,SIRA20DP-T1-RE3,14074 In Stock,453 Days,1,$1.60,10,$1.44,100,$1.11,500,$0.922,1000,$0.838,3000,$0.814,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIRA20DP-T1-RE3?qs=yrkI9Pv0ezAoV8kervIuvw%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 25V Vds 16V Vgs PowerPAK SO-8
Vishay / Siliconix,SIRA20BDP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA20BDP-T1-GE3,Vishay / Siliconix,SIRA20BDP-T1-GE3,8337 On Order,286 Days,1,$1.67,10,$1.50,100,$1.17,500,$0.962,1000,$0.864,3000,$0.864,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/SIRA20BDP-T1-GE3?qs=81r%252BiQLm7BQ%252BGwRiDS3xgw%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET N-CHANNEL 25-V (D-S) MOSFET
Vishay Semiconductors,SIRA18DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA18DP-T1-GE3,Vishay Semiconductors,SIRA18DP-T1-GE3,22701 In Stock,159 Days,1,$0.639,10,$0.564,100,$0.432,500,$0.341,1000,$0.273,3000,$0.252,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIRA18DP-T1-GE3?qs=mtIy1uf5%252BAQCTYU%252BQMO3yA%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIRA18BDP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA18BDP-T1-GE3,Vishay Semiconductors,SIRA18BDP-T1-GE3,26166 In Stock,105 Days,1,$0.498,10,$0.427,100,$0.319,500,$0.251,1000,$0.194,3000,$0.176,6000,$0.174,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://www2.mouser.com/ProductDetail/Vishay-Semiconductors/SIRA18BDP-T1-GE3?qs=%252B6g0mu59x7IAvGbrvIlXUw%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET N-CHANNEL 30-V (D-S) MOSFET
Vishay Semiconductors,SIRA18ADP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA18ADP-T1-GE3,Vishay Semiconductors,SIRA18ADP-T1-GE3,20003 In Stock,105 Days,1,$0.436,10,$0.372,100,$0.279,500,$0.218,1000,$0.168,3000,$0.166,6000,$0.163,9000,$0.16,24000,$0.159,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIRA18ADP-T1-GE3?qs=ojKcPFmCWSVrk7Ja81e2IA%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V Vds 20V Vgs PowerPAK SO-8
Vishay / Siliconix,SIRA16DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA16DP-T1-GE3,Vishay / Siliconix,SIRA16DP-T1-GE3,None,105 Days,6000,$0.228,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/SIRA16DP-T1-GE3?qs=abmNkq9no6BLCPXZlvffsw%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V Vds TrenchFET PowerPAK SO-8
Vishay Semiconductors,SIRA14DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA14DP-T1-GE3,Vishay Semiconductors,SIRA14DP-T1-GE3,51093 In Stock,105 Days,1,$0.72,10,$0.631,100,$0.483,500,$0.381,1000,$0.306,3000,$0.28,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIRA14DP-T1-GE3?qs=6QXKUnOJsGQzmC6SpLPO7w%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIRA12DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA12DP-T1-GE3,Vishay Semiconductors,SIRA12DP-T1-GE3,22434 In Stock,105 Days,1,$0.771,10,$0.692,100,$0.558,500,$0.46,1000,$0.382,3000,$0.374,6000,$0.355,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIRA12DP-T1-GE3?qs=6Vc4Yopya8KMOMIKYLWEcA%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V 4.3mOhm@10V 25A N-Ch G-IV
Vishay / Siliconix,SIRA12BDP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA12BDP-T1-GE3,Vishay / Siliconix,SIRA12BDP-T1-GE3,7483 In Stock,105 Days,1,$0.761,10,$0.648,100,$0.504,500,$0.401,1000,$0.326,3000,$0.326,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/SIRA12BDP-T1-GE3?qs=y6ZabgHbY%252Bzospo6tNs2CA%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V Vds 20V Vgs PowerPAK SO-8
Vishay / Siliconix,SIRA10DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA10DP-T1-GE3,Vishay / Siliconix,SIRA10DP-T1-GE3,10482 In Stock,105 Days,1,$1.06,10,$0.943,100,$0.737,500,$0.608,1000,$0.481,3000,$0.448,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/SIRA10DP-T1-GE3?qs=ikmy83Xc6sZRYuC8NhWsKg%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V Vds 20V Vgs PowerPAK SO-8
Vishay / Siliconix,SIRA10BDP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA10BDP-T1-GE3,Vishay / Siliconix,SIRA10BDP-T1-GE3,12044 In Stock,105 Days,1,$0.873,10,$0.731,100,$0.586,500,$0.45,1000,$0.397,3000,$0.397,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/SIRA10BDP-T1-GE3?qs=y6ZabgHbY%252BzusXGAaExD4w%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V Vds 20V Vgs PowerPAK SO-8
